Focal,Plot,Pos,Tr,Competitor,Seeds,Neighbors,S_nbs,B_nbs,P_nbs,C_nbs,N_nbs,S,B,P,C,N,S_predict,B_predict,P_predict,C_predict,N_predict
N,105,10,H,C,125,8,0,0,0,8,0,0,0,0,6,0,0,0,0,8.5068,0
N,113,8,H,C,741,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.8356,0
N,118,10,C,C,183,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2.8356,0
N,120,1,H,C,32,10,0,0,0,10,0,0,0,0,10,0,0,0,0,14.178,0
N,120,8,C,C,15,25,0,0,0,25,0,0,0,0,10,0,0,0,0,14.178,0
N,45,2,H,Focals,6483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,53,3,C,Focals,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,53,6,H,Focals,4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,67,5,H,Focals,5416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,86,2,C,Focals,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,101,2,H,Focals,4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,101,10L,C,Focals,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,101,10R,C,Focals,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,43,5,H,N,606,18,0,0,0,0,18,0,0,0,0,7.5,0,0,0,0,14.7015
N,43,8,C,N,386,29,0,0,0,0,29,0,0,0,0,7.5,0,0,0,0,14.7015
N,47,3,C,N,1064,31,0,0,0,0,31,0,0,0,0,7.5,0,0,0,0,14.7015
N,47,10,H,N,2663,10,0,0,0,0,10,0,0,0,0,7.5,0,0,0,0,14.7015
N,52,5,C,N,502,3,0,0,0,0,3,0,0,0,0,5.5,0,0,0,0,10.7811
N,52,7,H,N,765,7,0,0,0,0,7,0,0,0,0,5.5,0,0,0,0,10.7811
N,54,2,C,N,1204,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3.9204
N,54,10,H,N,4765,5,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3.9204
N,56,4,H,N,847,5,0,0,0,0,5,0,0,0,0,5.5,0,0,0,0,10.7811
N,56,9,C,N,171,13,0,0,0,0,13,0,0,0,0,5.5,0,0,0,0,10.7811
N,64,5,C,N,1933,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3.9204
N,64,9,H,N,2556,8,0,0,0,0,8,0,0,0,0,2,0,0,0,0,3.9204
N,68,2,H,N,1212,6,0,0,0,0,6,0,0,0,0,5.5,0,0,0,0,10.7811
N,68,10,C,N,804,3,0,0,0,0,3,0,0,0,0,5.5,0,0,0,0,10.7811
N,73,2,C,N,130,32,0,0,0,0,32,0,0,0,0,9.5,0,0,0,0,18.6219
N,73,8,H,N,506,26,0,0,0,0,26,0,0,0,0,9.5,0,0,0,0,18.6219
N,82,5,C,N,2400,8,0,0,0,0,8,0,0,0,0,9.5,0,0,0,0,18.6219
N,82,7,H,N,723,9,0,0,0,0,9,0,0,0,0,9.5,0,0,0,0,18.6219
N,84,4,C,N,2295,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7.8408
N,84,7,H,N,5774,5,0,0,0,0,5,0,0,0,0,4,0,0,0,0,7.8408
N,91,4,H,N,2260,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,7.8408
N,91,9,C,N,2212,7,0,0,0,0,7,0,0,0,0,4,0,0,0,0,7.8408
N,99,3,H,N,1607,21,0,0,0,0,21,0,0,0,0,9.5,0,0,0,0,18.6219
N,99,6,C,N,1449,7,0,0,0,0,7,0,0,0,0,9.5,0,0,0,0,18.6219
N,110,5,C,N,381,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3.9204
N,110,7,H,N,2543,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3.9204
N,117,2,H,N,5946,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7.8408
N,117,8,C,N,531,10,0,0,0,0,10,0,0,0,0,4,0,0,0,0,7.8408
N,119,2,C,N,137,32,0,0,0,0,32,0,0,0,0,7.5,0,0,0,0,14.7015
N,119,9,H,N,155,8,0,0,0,0,8,0,0,0,0,7.5,0,0,0,0,14.7015
N,44,10,C,P,74,96,0,0,96,0,0,0,0,12,0,0,0,0,50,0,0
N,49,1,H,P,110,0,0,0,0,0,0,0,0,16,0,0,0,0,100,0,0
N,49,9,C,P,87,0,0,0,0,0,0,0,0,16,0,0,0,0,100,0,0
N,59,5,C,P,141,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0
N,59,6,H,P,176,18,0,0,18,0,0,0,0,6,0,0,0,0,10,0,0
N,66,2,H,P,109,129,0,0,129,0,0,0,0,16,0,0,0,0,100,0,0
N,66,6,C,P,28,144,0,0,144,0,0,0,0,16,0,0,0,0,100,0,0
N,71,5,H,P,339,71,0,0,71,0,0,0,0,8,0,0,0,0,20,0,0
N,76,8,C,P,4,104,0,0,104,0,0,0,0,16,0,0,0,0,100,0,0
N,81,1,H,P,137,68,0,0,68,0,0,0,0,8,0,0,0,0,20,0,0
N,81,7,C,P,9,92,0,0,92,0,0,0,0,8,0,0,0,0,20,0,0
N,83,3,C,P,242,53,0,0,53,0,0,0,0,6,0,0,0,0,10,0,0
N,83,6,H,P,205,24,0,0,24,0,0,0,0,6,0,0,0,0,10,0,0
N,85,5,C,P,94,93,0,0,93,0,0,0,0,12,0,0,0,0,50,0,0
N,85,9,H,P,28,115,0,0,115,0,0,0,0,12,0,0,0,0,50,0,0
N,95,3,H,P,1538,26,0,0,26,0,0,0,0,4,0,0,0,0,5,0,0
N,100,4,H,P,131,47,0,0,47,0,0,0,0,8,0,0,0,0,20,0,0
N,100,9,C,P,410,52,0,0,52,0,0,0,0,8,0,0,0,0,20,0,0
N,102,1,C,P,46,10,0,0,10,0,0,0,0,6,0,0,0,0,10,0,0
N,102,8,H,P,144,44,0,0,44,0,0,0,0,6,0,0,0,0,10,0,0
N,112,5,H,P,177,25,0,0,25,0,0,0,0,4,0,0,0,0,5,0,0
N,112,6,C,P,31,18,0,0,18,0,0,0,0,4,0,0,0,0,5,0,0
N,48,3,H,S,535,32,32,0,0,0,0,8,0,0,0,0,23.46,0,0,0,0
N,48,8,C,S,91,24,24,0,0,0,0,8,0,0,0,0,23.46,0,0,0,0
N,50,7,H,S,72,55,55,0,0,0,0,20,0,0,0,0,58.65,0,0,0,0
N,57,3,H,S,171,81,81,0,0,0,0,20,0,0,0,0,58.65,0,0,0,0
N,62,3,H,S,1742,19,19,0,0,0,0,8,0,0,0,0,23.46,0,0,0,0
N,62,7,C,S,96,7,7,0,0,0,0,8,0,0,0,0,23.46,0,0,0,0
N,70,1,H,S,1135,8,8,0,0,0,0,4,0,0,0,0,11.73,0,0,0,0
N,70,8,C,S,1531,7,7,0,0,0,0,4,0,0,0,0,11.73,0,0,0,0
N,72,4,H,S,372,54,54,0,0,0,0,12,0,0,0,0,35.19,0,0,0,0
N,72,9,C,S,163,18,18,0,0,0,0,12,0,0,0,0,35.19,0,0,0,0
N,74,3,C,S,73,43,43,0,0,0,0,16,0,0,0,0,46.92,0,0,0,0
N,74,6,H,S,427,35,35,0,0,0,0,16,0,0,0,0,46.92,0,0,0,0
N,79,10,C,S,16,51,51,0,0,0,0,16,0,0,0,0,46.92,0,0,0,0
N,92,5,H,S,169,23,23,0,0,0,0,8,0,0,0,0,23.46,0,0,0,0
N,92,6,C,S,632,26,26,0,0,0,0,8,0,0,0,0,23.46,0,0,0,0
N,94,6,H,S,31,46,46,0,0,0,0,20,0,0,0,0,58.65,0,0,0,0
N,106,1,C,S,54,31,31,0,0,0,0,12,0,0,0,0,35.19,0,0,0,0
N,106,6,H,S,66,42,42,0,0,0,0,12,0,0,0,0,35.19,0,0,0,0
N,108,5,C,S,360,22,22,0,0,0,0,4,0,0,0,0,11.73,0,0,0,0
N,108,7,H,S,18,34,34,0,0,0,0,4,0,0,0,0,11.73,0,0,0,0
N,116,1,C,S,342,4,4,0,0,0,0,4,0,0,0,0,11.73,0,0,0,0
N,116,9,H,S,63,19,19,0,0,0,0,4,0,0,0,0,11.73,0,0,0,0
